frame_no,pos_x_green,pos_y_green,pos_x_pink,pos_y_pink,pos_x_yellow,pos_y_yellow
5,848,652,943,940,751,844
6,854,647,945,936,754,837
7,859,643,946,932,756,831
8,864,637,947,929,759,825
9,870,632,948,925,762,819
10,876,626,949,920,765,810
11,880,621,951,916,767,805
12,886,616,951,912,770,798
13,892,611,952,908,772,792
14,897,606,953,904,774,786
15,902,601,954,900,776,779
16,906,596,955,896,779,773
17,912,591,956,892,781,766
18,916,587,957,888,783,760
19,921,581,957,883,785,754
20,926,576,957,879,788,747
21,931,571,958,875,790,740
22,935,567,958,870,792,734
23,940,562,958,867,794,728
24,945,557,959,862,796,721
25,949,552,959,858,797,715
26,954,547,959,853,800,708
27,957,542,959,849,801,702
28,962,537,958,844,803,695
29,965,532,958,840,805,689
30,969,527,959,836,807,682
31,975,525,963,834,811,680
32,972,522,964,829,810,678
33,963,516,962,824,805,676
34,954,509,959,816,799,671
35,951,499,954,806,795,661
36,949,491,949,799,792,655
37,946,481,945,789,789,643
38,943,471,940,780,785,633
39,940,464,935,772,780,623
40,937,454,931,763,776,613
41,934,446,925,754,771,603
42,931,436,921,745,767,594
43,928,426,916,736,764,584
44,925,418,910,728,759,575
45,921,409,904,719,754,565
46,917,400,899,710,750,555
47,914,391,894,702,746,546
48,909,382,888,694,741,536
49,906,373,883,684,736,527
50,902,364,877,676,731,517
51,899,355,871,667,727,507
52,895,347,865,658,722,498
53,891,338,860,650,717,488
54,886,328,853,641,712,479
55,882,320,847,632,707,470
56,879,311,842,625,702,460
57,874,302,835,616,697,451
58,870,293,829,607,692,441
59,866,285,822,599,687,433
60,861,276,816,590,682,423
61,857,268,810,582,677,413
62,852,259,804,573,671,404
63,848,251,797,565,665,395
64,843,242,791,557,660,386
65,838,234,784,550,654,377
66,834,225,777,541,649,368
67,829,216,770,533,643,359
68,824,208,764,525,638,350
69,820,200,757,517,633,340
70,814,192,751,509,627,332
71,809,184,743,501,621,323
72,805,176,737,494,615,314
73,800,168,729,486,610,305
74,795,161,724,478,604,297
75,790,153,716,471,598,288
76,784,145,709,463,592,280
77,779,138,703,455,587,271
78,774,130,696,448,580,262
79,769,122,689,440,574,254
80,764,116,682,433,569,247
81,758,108,675,426,563,238
82,752,101,668,420,557,230
83,747,93,661,412,551,222
84,742,87,654,405,545,213
85,736,79,647,398,542,207
86,731,73,640,391,534,199
87,726,66,633,385,527,191
88,720,60,626,378,521,183
89,715,53,619,372,514,176
90,710,47,611,366,508,169
91,705,41,606,360,502,160
92,698,36,598,353,497,153
93,693,28,591,348,,
94,688,22,584,341,485,140
95,682,17,577,335,474,135
96,677,12,570,330,471,128
97,672,7,563,324,466,119
98,666,5,556,319,460,113
99,660,2,548,313,455,108
100,655,1,542,308,447,101
101,,,535,303,443,96
102,,,528,298,436,89
103,,,521,293,430,82
104,,,515,288,424,77
105,,,508,284,419,73
106,,,500,280,412,67
107,,,494,275,405,63
108,,,486,271,400,57
109,,,480,267,394,52
110,,,473,263,389,48
111,,,467,259,382,43
112,,,460,255,377,38
113,,,453,252,371,34
114,,,447,249,365,31
115,,,440,246,359,27
116,,,433,242,354,23
117,,,427,239,349,19
118,,,421,236,342,16
119,,,415,234,337,13
120,,,408,232,332,10
121,,,402,228,327,7
122,,,396,227,321,5
123,,,389,225,315,4
124,,,383,223,309,3
125,,,377,221,304,2
126,,,371,220,299,1
127,,,365,219,294,1
128,,,359,217,,
129,,,353,216,,
130,,,347,215,,
131,,,341,215,,
132,,,335,214,,
133,,,329,213,,
134,,,324,213,,
135,,,318,213,,
136,,,313,213,,
137,,,307,213,,
138,,,302,214,,
139,,,296,214,,
140,,,291,215,,
141,,,286,216,,
142,,,280,217,,
143,,,276,217,,
144,,,270,219,,
145,,,265,221,,
146,,,260,222,206,1
147,,,255,224,201,1
148,,,250,226,197,1
149,,,245,228,192,2
150,,,240,230,189,3
151,,,237,232,185,5
152,,,232,235,182,7
153,,,228,238,178,9
154,,,224,241,174,12
155,,,219,243,171,15
156,,,215,247,168,18
157,,,212,250,164,21
158,,,207,253,161,24
159,,,203,257,158,28
160,,,200,261,155,32
161,376,1,196,264,153,36
162,374,2,194,269,151,40
163,379,5,197,272,156,43
164,390,9,207,277,165,48
165,401,16,216,283,177,54
166,414,23,227,290,188,60
167,424,31,237,297,200,67
168,436,39,248,303,211,73
169,448,46,259,309,223,81
170,460,54,270,316,234,88
171,472,62,281,323,246,95
172,484,70,291,330,259,102
173,496,78,302,337,271,110
174,507,87,313,345,283,117
175,519,96,324,352,295,124
176,531,104,335,359,306,132
177,544,113,346,367,319,141
178,556,122,357,375,333,152
179,568,131,368,383,,
180,581,140,379,390,356,165
181,592,149,390,399,367,174
182,604,159,401,406,379,183
183,617,168,412,414,392,190
184,629,178,423,423,406,201
185,642,187,434,431,417,208
186,655,197,445,439,429,217
187,666,207,457,448,442,225
188,678,216,468,457,453,235
189,690,226,479,466,466,243
190,703,237,490,474,478,252
191,715,246,500,483,491,263
192,727,257,512,492,503,271
193,740,266,524,501,515,280
194,752,276,534,509,527,289
195,764,286,546,519,539,298
196,777,297,556,527,551,308
197,787,307,568,538,562,319
198,795,313,581,548,570,330
199,800,315,591,553,576,337
200,802,314,597,556,578,342
201,804,313,600,557,580,343
202,804,313,599,556,580,342
203,805,314,596,554,580,340
204,802,313,590,551,577,335
205,796,309,583,545,571,330
206,789,303,575,539,564,323
207,778,294,566,531,554,316
208,764,281,556,522,539,307
209,742,265,543,513,518,299
210,716,246,527,503,,
211,688,226,510,491,468,279
212,659,206,491,477,,
213,626,184,471,464,410,257
214,594,163,450,449,,
215,564,144,427,434,353,228
216,539,128,399,418,326,209
217,521,118,366,401,306,189
218,507,114,336,388,288,170
219,498,115,311,376,276,155
220,493,118,296,370,269,146
221,490,120,288,368,266,143
222,491,123,286,368,266,143
223,493,122,289,368,267,142
224,496,121,294,369,270,142
225,501,121,300,370,275,145
226,504,121,307,372,281,147
227,508,123,309,372,283,149
228,510,124,310,374,285,149
229,513,126,310,373,288,148
